CODE,SHARE NAME,INDUSTRY,SHARES,WEIGHT,MARKET CAP,CLOSING,RSI Comparison Sector,RSI Comparison Market,Commodity,Current Price,Current Value,Next Week Prediction,Next Month Prediction,Z-Score,Overbought_Oversold,Overbought_Oversold_Value,Sector RSI 1m,Sector RSI 3m,Sector RSI 6m,Market RSI 1m,Market RSI 3m,Market RSI 6m
SAP.JO,SAPPI,Industrial Materials,402.0,0.0052,21047.59,52.42,STXFIN,STXCAP,0,,,,,,,,1.1,0.93,1.11,1.1,1.02,1.31
YRK.JO,York Timber,Industrial Materials,,0.0,,,STXFIN,STXCAP,0,,,,,,,,1.29,1.15,1.11,1.29,1.26,1.31
ARI.JO,AFRICAN RAINBOW,Industrial Metals & Mining,69.0,0.0039,15716.37,228.71,STXRES,STXCAP,0,,,,,,,,0.95,1.13,1.04,0.95,1.03,1.27
AFT.JO,AFRIMAT LTD,Industrial Metals & Mining,79.0,0.0014,5794.38,73.07,STXRES,STXCAP,0,,,,,,,,0.95,1.1,0.92,0.94,1.0,1.15
AGL.JO,ANGLO,Industrial Metals & Mining,278.0,0.0383,154135.89,554.01,STXRES,STXCAP,0,,,,,,,,0.89,0.87,1.03,0.89,0.79,1.26
BHG.JO,BHP Group Limited,Industrial Metals & Mining,128.0,0.0168,67662.05,528.5,STXRES,STXCAP,0,,,,,,,,0.95,1.0,0.76,0.94,0.91,0.98
GLN.JO,GLENCORE PLC,Industrial Metals & Mining,412.0,0.0113,45482.8,110.46,STXRES,STXCAP,0,,,,,,,,0.96,0.98,0.9,0.96,0.89,1.13
KIO.JO,KUMBA IRON ORE LTD,Industrial Metals & Mining,37.0,0.0042,16904.86,460.63,STXRES,STXCAP,0,,,,,,,,0.9,0.89,0.65,0.9,0.81,0.86
S32.JO,SOUTH32 LTD,Industrial Metals & Mining,211.0,0.0024,9536.06,45.24,STXRES,STXCAP,0,,,,,,,,0.78,0.89,0.77,0.78,0.8,0.99
HDC.JO,HUDACO,Industrial Support Services,22.0,0.001,3884.65,179.5,STXFIN,STXCAP,0,,,,,,,,0.98,0.93,1.01,0.99,1.02,1.21
FTH.JO,Frontier Transport,Industrial Transportation,,0.0,,,STXFIN,STXCAP,0,,,,,,,,1.12,1.05,0.95,1.12,1.15,1.15
GND.JO,GRINDROD,Industrial Transportation,391.0,0.0015,6179.09,15.81,STXFIN,STXCAP,0,,,,,,,,1.06,1.04,1.17,1.06,1.14,1.37
SNV.JO,Santova,Industrial Transportation,,0.0,,,STXFIN,STXCAP,0,,,,,,,,1.02,0.95,0.92,1.02,1.04,1.11
SPG.JO,SUPER GROUP,Industrial Transportation,216.0,0.0016,6338.94,29.32,STXFIN,STXCAP,0,,,,,,,,1.04,0.93,0.96,1.04,1.02,1.16
ACT.JO,Afrocentric,Investment Banking and Brokerage Service,,0.0,,,STXFIN,STXCAP,0,,,,,,,,0.94,0.87,0.81,0.94,0.96,1.0
AFH.JO,ALEXANDER FORBES GROUP HOLDINGS,Investment Banking and Brokerage Service,103.0,0.0002,752.53,7.31,STXFIN,STXCAP,0,,,,,,,,0.92,0.92,0.94,0.92,1.01,1.14
AIL.JO,Arfican Rainbow Investements,Investment Banking and Brokerage Service,,0.0,,,STXFIN,STXCAP,0,,,,,,,,0.94,1.04,1.12,0.94,1.14,1.32
BAT.JO,Brait,Investment Banking and Brokerage Service,,0.0,,,STXFIN,STXCAP,0,,,,,,,,0.87,0.53,0.39,0.87,0.58,0.58
CML.JO,CORONATION MANAGER F,Investment Banking and Brokerage Service,160.0,0.0015,5993.41,37.35,STXFIN,STXCAP,0,,,,,,,,1.04,1.07,1.09,1.04,1.17,1.29
EPE.JO,EPE Capital,Investment Banking and Brokerage Service,,0.0,,,STXFIN,STXCAP,0,,,,,,,,0.86,0.89,0.71,0.87,0.97,0.9
GPL.JO,Grand Parade Investements,Investment Banking and Brokerage Service,,0.0,,,STXFIN,STXCAP,0,,,,,,,,1.03,0.93,1.14,1.04,1.02,1.34
HCI.JO,HCI,Investment Banking and Brokerage Service,29.0,0.0013,5205.71,179.58,STXFIN,STXCAP,0,,,,,,,,1.09,0.96,0.98,1.09,1.05,1.18
JSE.JO,JSE,Investment Banking and Brokerage Service,59.0,0.0016,6313.99,106.5,STXFIN,STXCAP,0,,,,,,,,0.97,1.09,1.11,0.97,1.19,1.31
NY1.JO,Ninety One Limited,Investment Banking and Brokerage Service,150.0,0.0015,5904.26,39.44,STXFIN,STXCAP,0,,,,,,,,1.0,0.88,0.85,1.0,0.97,1.05
