CODE,SHARE NAME,INDUSTRY,SHARES,WEIGHT,MARKET CAP,CLOSING,RSI Comparison Sector,RSI Comparison Market,Commodity,Current Price,Current Value,Next Week Prediction,Next Month Prediction,SECTOR RSI 1M,SECTOR RSI 3M,SECTOR RSI 6M,MARKET RSI 1M,MARKET RSI 3M,MARKET RSI 6M
PL=F,Platinum Oct 24,TBC,332.0,0.0009,3816.29,11.49,STXFIN,%5EJ300,1,5520.52,5520.52,-1.0,-1.0,0.93,0.79,0.91,0.93,0.87,1.11
PMV.JO,Primeserv,Support Services,,0.0,,,STXFIN,%5EJ300,0,,,,,1.1,1.32,1.27,1.09,1.44,1.49
PPC.JO,PPC,Construction & Materials,857.0,0.0008,3221.73,3.76,STXFIN,%5EJ300,0,,,,,1.02,1.01,0.91,1.02,1.1,1.11
PPE.JO,Purple,Investment Banking and Brokerage Service,,0.0,,,STXFIN,%5EJ300,0,,,,,0.99,0.91,1.12,0.99,0.99,1.33
PPH.JO,PEPKOR HOLDINGS LTD,Retailers,1767.0,0.0085,34239.5,19.38,STXFIN,%5EJ300,0,,,,,1.03,0.95,0.91,1.03,1.03,1.12
PPR.JO,Putprop,Real Estate Investment Trusts,,0.0,,,STXPRO,%5EJ300,0,,,,,1.03,0.97,0.94,1.02,1.02,1.09
PRX.JO,PROSUS NV,Software & Computer Services,170.0,0.0272,109554.3,645.0,STXACW,%5EJ300,0,,,,,1.02,0.95,,0.99,0.92,1.14
QFH.JO,Quantum Food,Food Producers,,0.0,,,STXFIN,%5EJ300,0,,,,,0.79,0.55,1.94,0.79,0.6,2.18
QLT.JO,QUILTER PLC,Investment Banking and Brokerage Service,581.0,0.004,16037.65,27.58,STXFIN,%5EJ300,0,,,,,1.1,1.05,1.09,1.1,1.15,1.3
RBO.JO,Rainbow Chicken,Food Producers,,0.0,,,STXFIN,%5EJ300,0,,,,,0.89,,,0.89,,
RBX.JO,RAUBEX GROUP LTD,Construction & Materials,115.0,0.0013,5362.68,46.5,STXFIN,%5EJ300,0,,,,,0.96,1.28,1.39,0.96,1.39,1.61
RDF.JO,REDEFINE,Real Estate Investment Trusts,4600.0,0.0048,19503.97,4.24,STXPRO,%5EJ300,0,,,,,1.01,0.98,0.97,1.0,1.03,1.13
REM.JO,REMGRO,Investment Banking and Brokerage Service,339.0,0.0116,46907.1,138.44,STXFIN,%5EJ300,0,,,,,0.96,0.94,0.76,0.95,1.02,0.97
RES.JO,RESILIENT REIT LIMITED,Real Estate Investment Trusts,203.0,0.0026,10284.24,50.54,STXPRO,%5EJ300,0,,,,,1.02,1.05,1.02,1.0,1.1,1.17
RFG.JO,RFG Holdings,Food Producers,,0.0,,,STXFIN,%5EJ300,0,,,,,1.03,1.05,1.05,1.03,1.14,1.26
RLO.JO,REUNERT,Electronics & Electrical Equipment,105.0,0.0019,7577.53,72.39,STXFIN,%5EJ300,0,,,,,0.99,0.95,1.03,0.99,1.03,1.24
RMH.JO,RMB Holdings,Investment Banking and Brokerage Service,,0.0,,,STXFIN,%5EJ300,0,,,,,1.04,0.93,0.99,1.04,1.01,1.2
