CODE,SHARE NAME,INDUSTRY,SHARES,WEIGHT,MARKET CAP,CLOSING,RSI Comparison Sector,RSI Comparison Market,Current Price,SECTOR RSI 1M,SECTOR RSI 3M,SECTOR RSI 6M,MARKET RSI 1M,MARKET RSI 3M,MARKET RSI 6M
LHC.JO,LIFE HEALTHCARE GROUP,Health Care Providers,957.0,0.003,12059.76,12.6,STXFIN,%5EJ300,1297.0,1.05,1.09,1.0,1.05,1.2,1.21
LTE.JO,LIGHTHOUSE CAPITAL LTD,Real Estate Investment & Serv,690.0,0.0014,5519.54,8.0,STXPRO,%5EJ300,821.0,1.05,0.95,1.0,1.05,1.01,1.15
MCG.JO,MULTICHOICE GROUP LTD,Telecommunications Service Providers,191.0,0.005,20039.83,104.8,STXFIN,%5EJ300,10750.0,1.0,0.83,0.9,1.0,0.91,1.11
MDI.JO,Master Drilling,Construction & Materials,,0.0,,,STXFIN,%5EJ300,1200.0,1.0,0.94,0.87,1.0,1.04,1.08
MFL.JO,Metrofile,Software & Computer Services,,0.0,,,STXFIN,%5EJ300,250.0,0.97,0.9,0.87,0.97,0.99,1.07
MKR.JO,Montauk Renewables Inc,Alternative Energy,27.0,0.0007,2657.53,97.54,STXFIN,%5EJ300,10000.0,0.98,1.0,0.73,0.98,1.1,0.93
MNP.JO,MONDI PLC,General Industrials,127.0,0.0111,44798.51,353.66,STXFIN,%5EJ300,33705.0,0.92,0.82,0.93,0.92,0.9,1.13
MPT.JO,Mpact,General Industrials,,0.0,,,STXFIN,%5EJ300,2920.0,1.03,0.97,0.93,1.03,1.07,1.14
MRP.JO,MR PRICE GROUP LTD,Retailers,168.0,0.0083,33520.05,199.53,STXFIN,%5EJ300,21800.0,1.07,1.09,1.17,1.07,1.19,1.39
MSP.JO,MAS REAL ESTATE INC,Real Estate Investment & Serv,301.0,0.0013,5388.85,17.91,STXPRO,%5EJ300,1751.0,0.99,0.94,0.93,0.98,1.0,1.08
MST.JO,Mustek,Retailers,,0.0,,,STXFIN,%5EJ300,1250.0,1.33,1.34,0.87,1.33,1.47,1.08
MTA.JO,Metair Holdings,General Industrials,,0.0,,,STXFIN,%5EJ300,1293.0,1.02,1.09,0.89,1.03,1.2,1.09
MTH.JO,MOTUS HOLDINGS LTD,Retailers,99.0,0.0024,9726.47,98.72,STXFIN,%5EJ300,10380.0,1.07,1.07,0.95,1.07,1.18,1.16
MTM.JO,MTM MOMENTUM METROPOLITAN HOLDINGS LTD,Life Insurance,779.0,0.0045,18106.79,23.25,STXFIN,%5EJ300,2640.0,1.16,1.07,1.18,1.16,1.18,1.4
MTN.JO,MTN GROUP,Telecommunications Service Providers,1220.0,0.0249,100211.73,82.14,STXFIN,%5EJ300,8306.0,1.02,0.86,0.82,1.03,0.95,1.03
MUR.JO,Murray& Roberts,General Industrials,,0.0,,,STXFIN,%5EJ300,310.0,1.35,1.83,2.48,1.36,2.01,2.73
N91.JO,Ninety One Plc,Investment Banking and Brokerage Service,123.0,0.0012,4909.47,39.88,STXFIN,%5EJ300,3854.0,0.99,0.88,0.85,0.99,0.97,1.06
NED.JO,NEDBANK,Banks,307.0,0.0195,78607.14,255.82,STXFIN,%5EJ300,27972.0,1.08,1.05,1.15,1.09,1.15,1.36
NPH.JO,Northam Platinum Holdings,Precious Metals and Mining,241.0,0.0076,30636.23,127.22,STXRES,%5EJ300,12725.0,1.08,0.95,0.99,1.02,0.86,1.22
NPK.JO,Nampak,General Industrials,,0.0,,,STXFIN,%5EJ300,37496.0,1.18,2.03,1.85,1.18,2.23,2.09
NPN.JO,NASPERS -N,Software & Computer Services,93.0,0.0811,326912.28,3531.13,STXACW,%5EJ300,358840.0,1.02,0.9,,0.99,0.88,1.16
NRP.JO,NEPI ROCKCASTLE PLC,Real Estate Investment & Serv,373.0,0.0121,48760.45,130.89,STXPRO,%5EJ300,13890.0,1.06,1.01,1.03,1.06,1.08,1.17
NTC.JO,NETCARE,Health Care Providers,937.0,0.0029,11701.82,12.49,STXFIN,%5EJ300,1270.0,1.08,1.02,0.84,1.08,1.12,1.04
NVS.JO,Novus,General Industrials,,0.0,,,STXFIN,%5EJ300,625.0,1.09,1.36,1.39,1.09,1.5,1.61
NWL.JO,Nuworld,Retailers,,0.0,,,STXFIN,%5EJ300,2751.0,1.01,0.9,0.82,1.01,0.99,1.02
NY1.JO,Ninety One Limited,Investment Banking and Brokerage Service,150.0,0.0015,5904.26,39.44,STXFIN,%5EJ300,3801.0,0.99,0.89,0.85,1.0,0.98,1.05
OCE.JO,OCEANA,Food Producers,59.0,0.001,4187.89,71.49,STXFIN,%5EJ300,7039.0,1.02,0.89,0.88,1.02,0.98,1.09
OMN.JO,OMNIA,Chemicals,115.0,0.002,7991.29,69.54,STXFIN,%5EJ300,6490.0,0.94,1.04,0.91,0.94,1.14,1.11
OMU.JO,OLD MUTUAL LTD,Life Insurance,2941.0,0.0092,36884.29,12.54,STXFIN,%5EJ300,1193.0,0.97,0.96,0.94,0.98,1.06,1.15
OUT.JO,OUTSURANCE,Nonlife Insurance,574.0,0.0067,27121.55,47.25,STXFIN,%5EJ300,4686.0,1.0,1.01,1.01,1.0,1.11,1.22
PA=F,Palladium Sep 24,TBC,332.0,0.0009,3816.29,11.49,STXFIN,%5EJ300,,0.94,0.79,0.83,0.94,0.86,1.03
PAN.JO,PAN AFRICAN RESOURCE,Precious Metals and Mining,1068.0,0.0017,6726.23,6.3,STXRES,%5EJ300,650.0,1.11,1.18,1.36,1.05,1.07,1.6
PIK.JO,PIK N PAY,Personal Care Drug and Grocery Stores,249.0,0.0017,6684.26,26.8,STXFIN,%5EJ300,2279.0,0.97,1.04,0.77,0.97,1.14,0.98
PL=F,Platinum Oct 24,TBC,332.0,0.0009,3816.29,11.49,STXFIN,%5EJ300,,0.93,0.8,0.95,0.93,0.87,1.15
PMV.JO,Primeserv,Support Services,,0.0,,,STXFIN,%5EJ300,189.0,1.18,1.35,1.26,1.18,1.48,1.47
PPC.JO,PPC,Construction & Materials,857.0,0.0008,3221.73,3.76,STXFIN,%5EJ300,397.0,1.12,1.12,0.98,1.13,1.23,1.19
PPE.JO,Purple,Investment Banking and Brokerage Service,,0.0,,,STXFIN,%5EJ300,79.0,1.01,0.9,1.08,1.01,0.99,1.3
PPH.JO,PEPKOR HOLDINGS LTD,Retailers,1767.0,0.0085,34239.5,19.38,STXFIN,%5EJ300,1972.0,1.01,0.92,0.88,1.01,1.01,1.09
PPR.JO,Putprop,Real Estate Investment Trusts,,0.0,,,STXPRO,%5EJ300,320.0,1.02,0.97,0.95,1.02,1.03,1.1
PRX.JO,PROSUS NV,Software & Computer Services,170.0,0.0272,109554.3,645.0,STXACW,%5EJ300,64440.0,1.0,0.91,,0.97,0.89,1.17
QFH.JO,Quantum Food,Food Producers,,0.0,,,STXFIN,%5EJ300,911.0,0.74,0.57,1.78,0.74,0.63,2.01
QLT.JO,QUILTER PLC,Investment Banking and Brokerage Service,581.0,0.004,16037.65,27.58,STXFIN,%5EJ300,3261.0,1.16,1.14,1.24,1.17,1.26,1.45
RBO.JO,Rainbow Chicken,Food Producers,,0.0,,,STXFIN,%5EJ300,364.0,0.89,,,0.89,,
RBX.JO,RAUBEX GROUP LTD,Construction & Materials,115.0,0.0013,5362.68,46.5,STXFIN,%5EJ300,4265.0,0.94,1.15,1.4,0.95,1.26,1.62
RDF.JO,REDEFINE,Real Estate Investment Trusts,4600.0,0.0048,19503.97,4.24,STXPRO,%5EJ300,437.0,1.03,1.08,1.06,1.03,1.15,1.2
REM.JO,REMGRO,Investment Banking and Brokerage Service,339.0,0.0116,46907.1,138.44,STXFIN,%5EJ300,13391.0,0.99,0.96,0.79,1.0,1.05,0.99
RES.JO,RESILIENT REIT LIMITED,Real Estate Investment Trusts,203.0,0.0026,10284.24,50.54,STXPRO,%5EJ300,5114.0,1.05,1.07,1.07,1.05,1.15,1.21
RFG.JO,RFG Holdings,Food Producers,,0.0,,,STXFIN,%5EJ300,1515.0,0.99,1.01,1.03,0.99,1.12,1.24
RLO.JO,REUNERT,Electronics & Electrical Equipment,105.0,0.0019,7577.53,72.39,STXFIN,%5EJ300,7185.0,0.99,0.98,0.98,0.99,1.07,1.19
RMH.JO,RMB Holdings,Investment Banking and Brokerage Service,,0.0,,,STXFIN,%5EJ300,41.0,1.01,1.01,1.04,1.01,1.11,1.25
RNI.JO,REINET INVESTMENTS SCA,Investment Banking and Brokerage Service,90.0,0.0102,40947.74,454.6,STXACW,%5EJ300,47416.0,1.09,1.06,,1.06,1.04,1.08
RTN.JO,Rex Trueform,Retailers,,0.0,,,STXFIN,%5EJ300,11.03,0.01,0.01,0.01,0.01,0.01,0.19
S32.JO,SOUTH32 LTD,Industrial Metals & Mining,211.0,0.0024,9536.06,45.24,STXRES,%5EJ300,3452.0,0.83,0.84,0.82,0.78,0.76,1.04
SAC.JO,SA CORP REAL ESTATE,Real Estate Investment Trusts,1638.0,0.0011,4405.85,2.69,STXPRO,%5EJ300,268.0,1.03,0.98,1.07,1.02,1.05,1.22
SAP.JO,SAPPI,Industrial Materials,402.0,0.0052,21047.59,52.42,STXFIN,%5EJ300,4625.0,0.87,0.8,0.88,0.87,0.87,1.09
SB=F,Sugar futures,TBC,332.0,0.0009,3816.29,11.49,STXFIN,%5EJ300,,0.94,0.9,0.74,0.96,0.99,0.94
SBK.JO,STANBANK,Banks,902.0,0.0475,191276.92,212.1,STXFIN,%5EJ300,21667.0,1.03,1.03,0.98,1.03,1.13,1.18
SBP.JO,Sabvest,Investment Banking and Brokerage Service,,0.0,,,STXFIN,%5EJ300,7101.0,0.97,0.95,0.9,0.98,1.04,1.1
SDO.JO,Stadio,Consumer Services,,0.0,,,STXFIN,%5EJ300,540.0,1.03,1.04,1.0,1.04,1.15,1.2
SEB.JO,Sebata,Software & Computer Services,,0.0,,,STXFIN,%5EJ300,100.0,0.81,0.4,0.28,0.81,0.44,0.47
SEP.JO,Sephaku,Construction & Materials,,0.0,,,STXFIN,%5EJ300,180.0,1.04,1.43,1.35,1.04,1.57,1.57
SFN.JO,Sasfin Holdings,Banks,,0.0,,,STXFIN,%5EJ300,2575.0,1.44,1.4,1.05,1.45,1.54,1.26
SHC.JO,Shaftesbury Capital,Real Estate Investment Trusts,85.0,0.0007,2840.55,33.3,STXPRO,%5EJ300,3354.0,0.98,0.95,1.01,0.98,1.02,1.16
SHG.JO,Sea Harvest,Food Producers,,0.0,,,STXFIN,%5EJ300,808.0,0.99,0.91,0.84,1.0,1.0,1.04
SHP.JO,SHOPRITE,Personal Care Drug and Grocery Stores,324.0,0.0232,93479.44,288.5,STXFIN,%5EJ300,28988.0,1.01,1.0,1.0,1.01,1.1,1.21
SLM.JO,SANLAM,Life Insurance,1174.0,0.0239,96405.72,82.14,STXFIN,%5EJ300,7923.0,0.98,0.99,1.02,0.98,1.08,1.23
SNT.JO,SANTAM,Nonlife Insurance,27.0,0.0022,8910.41,329.66,STXFIN,%5EJ300,32670.0,1.0,0.98,1.0,1.0,1.08,1.21
