CODE,SHARE NAME,INDUSTRY,SHARES,WEIGHT,MARKET CAP,CLOSING,RSI Comparison Sector,RSI Comparison Market,Current Price,Current Value,Next Week Prediction,Next Month Prediction,Next Week Volume Prediction,Next Month Volume Prediction,Z-Score,Overbought_Oversold,Overbought_Oversold_Value,SECTOR RSI 1M,SECTOR RSI 3M,SECTOR RSI 6M,MARKET RSI 1M,MARKET RSI 3M,MARKET RSI 6M
MTM.JO,MTM MOMENTUM METROPOLITAN HOLDINGS LTD,Life Insurance,779.0,0.0045,18106.79,23.25,STXFIN,%5EJ300,2603.0,2603.0,-1.0,-1.0,-1.0,-1.0,0.91,0.05,1.05,1.14,1.06,1.15,1.15,1.16,1.36
MTN.JO,MTN GROUP,Telecommunications Service Providers,1220.0,0.0249,100211.73,82.14,STXFIN,%5EJ300,7526.0,7526.0,-1.0,-1.0,-1.0,-1.0,-0.63,-0.04,0.96,0.9,0.71,0.7,0.9,0.78,0.9
MUR.JO,Murray& Roberts,General Industrials,,0.0,,,STXFIN,%5EJ300,299.0,299.0,-1.0,-1.0,-1.0,-1.0,1.05,0.16,1.16,1.27,1.73,2.4,1.27,1.89,2.65
N91.JO,Ninety One Plc,Investment Banking and Brokerage Service,123.0,0.0012,4909.47,39.88,STXFIN,%5EJ300,3801.0,3801.0,-1.0,-1.0,-1.0,-1.0,-1.75,0.02,1.02,0.95,0.85,0.8,0.95,0.93,1.01
NED.JO,NEDBANK,Banks,307.0,0.0195,78607.14,255.82,STXFIN,%5EJ300,27870.0,27870.0,-1.0,-1.0,-1.0,-1.0,1.61,0.04,1.04,1.1,1.08,1.13,1.11,1.18,1.35
NPH.JO,Northam Platinum Holdings,Precious Metals and Mining,241.0,0.0076,30636.23,127.22,STXRES,%5EJ300,12941.0,12941.0,-1.0,-1.0,-1.0,-1.0,-0.51,0.03,1.03,1.07,0.99,1.0,1.02,0.92,1.26
NPK.JO,Nampak,General Industrials,,0.0,,,STXFIN,%5EJ300,37600.0,37600.0,-1.0,-1.0,-1.0,-1.0,0.45,0.28,1.28,1.22,2.05,1.89,1.23,2.24,2.13
NPN.JO,NASPERS -N,Software & Computer Services,93.0,0.0811,326912.28,3531.13,STXACW,%5EJ300,347480.0,347480.0,-1.0,-1.0,-1.0,-1.0,-0.27,-0.04,0.96,1.01,0.88,,0.98,0.87,1.1
NRP.JO,NEPI ROCKCASTLE PLC,Real Estate Investment & Serv,373.0,0.0121,48760.45,130.89,STXPRO,%5EJ300,13752.0,13752.0,-1.0,-1.0,-1.0,-1.0,1.32,0.01,1.01,1.08,1.02,1.03,1.06,1.08,1.17
NTC.JO,NETCARE,Health Care Providers,937.0,0.0029,11701.82,12.49,STXFIN,%5EJ300,1283.0,1283.0,-1.0,-1.0,-1.0,-1.0,1.0,0.02,1.02,1.08,0.99,0.82,1.08,1.09,1.03
NVS.JO,Novus,General Industrials,,0.0,,,STXFIN,%5EJ300,649.0,649.0,-1.0,-1.0,-1.0,-1.0,1.31,0.12,1.12,1.19,1.31,1.24,1.19,1.43,1.46
NWL.JO,Nuworld,Retailers,,0.0,,,STXFIN,%5EJ300,2751.0,2751.0,-1.0,-1.0,-1.0,-1.0,-0.67,-0.01,0.99,0.96,0.92,0.9,0.96,1.01,1.11
NY1.JO,Ninety One Limited,Investment Banking and Brokerage Service,150.0,0.0015,5904.26,39.44,STXFIN,%5EJ300,3736.0,3736.0,-1.0,-1.0,-1.0,-1.0,-1.89,0.02,1.02,0.96,0.86,0.8,0.97,0.94,1.01
OCE.JO,OCEANA,Food Producers,59.0,0.001,4187.89,71.49,STXFIN,%5EJ300,6912.0,6912.0,-1.0,-1.0,-1.0,-1.0,0.54,-0.02,0.98,0.98,0.87,0.85,0.98,0.95,1.06
OMN.JO,OMNIA,Chemicals,115.0,0.002,7991.29,69.54,STXFIN,%5EJ300,6453.0,6453.0,-1.0,-1.0,-1.0,-1.0,-1.13,0.07,1.07,0.92,1.03,0.9,0.93,1.12,1.11
OMU.JO,OLD MUTUAL LTD,Life Insurance,2941.0,0.0092,36884.29,12.54,STXFIN,%5EJ300,1185.0,1185.0,-1.0,-1.0,-1.0,-1.0,-0.92,0.03,1.03,0.97,0.96,0.87,0.97,1.05,1.08
OUT.JO,OUTSURANCE,Nonlife Insurance,574.0,0.0067,27121.55,47.25,STXFIN,%5EJ300,4658.0,4658.0,-1.0,-1.0,-1.0,-1.0,-1.16,0.04,1.04,1.0,1.01,1.01,1.0,1.1,1.22
PA=F,Palladium Sep 24,TBC,332.0,0.0009,3816.29,11.49,STXFIN,%5EJ300,1198.69,1198.69,-1.0,-1.0,-1.0,-1.0,-1.82,-0.11,0.89,0.88,0.77,0.79,0.88,0.85,0.98
PAN.JO,PAN AFRICAN RESOURCE,Precious Metals and Mining,1068.0,0.0017,6726.23,6.3,STXRES,%5EJ300,652.0,652.0,-1.0,-1.0,-1.0,-1.0,-0.28,0.05,1.05,1.08,1.2,1.32,1.04,1.11,1.61
PIK.JO,PIK N PAY,Personal Care Drug and Grocery Stores,249.0,0.0017,6684.26,26.8,STXFIN,%5EJ300,2207.0,2207.0,-1.0,-1.0,-1.0,-1.0,-1.77,-0.05,0.95,0.95,1.0,0.76,0.96,1.1,0.96
PL=F,Platinum Oct 24,TBC,332.0,0.0009,3816.29,11.49,STXFIN,%5EJ300,5520.52,5520.52,-1.0,-1.0,-1.0,-1.0,-0.65,0.0,1.0,0.93,0.78,0.91,0.93,0.86,1.1
PMV.JO,Primeserv,Support Services,,0.0,,,STXFIN,%5EJ300,189.0,189.0,-1.0,-1.0,-1.0,-1.0,-0.16,0.15,1.15,1.18,1.36,1.27,1.18,1.49,1.49
PPC.JO,PPC,Construction & Materials,857.0,0.0008,3221.73,3.76,STXFIN,%5EJ300,379.0,379.0,-1.0,-1.0,-1.0,-1.0,0.81,0.06,1.06,1.08,1.01,0.87,1.08,1.1,1.08
PPE.JO,Purple,Investment Banking and Brokerage Service,,0.0,,,STXFIN,%5EJ300,76.0,76.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,0.98,0.91,1.1,0.99,0.99,1.31
PPH.JO,PEPKOR HOLDINGS LTD,Retailers,1767.0,0.0085,34239.5,19.38,STXFIN,%5EJ300,1974.0,1974.0,-1.0,-1.0,-1.0,-1.0,-0.65,0.04,1.04,1.04,0.95,0.9,1.04,1.04,1.11
PPR.JO,Putprop,Real Estate Investment Trusts,,0.0,,,STXPRO,%5EJ300,320.0,320.0,-1.0,-1.0,-1.0,-1.0,1.47,0.01,1.01,1.03,0.97,0.92,1.02,1.02,1.07
