code,share_name,industry,sub_industry,rsi_comparison_market,rsi_comparison_sector,commodity,Current Price,Current Value,Next Week Prediction,Next Month Prediction,Z-Score,Overbought_Oversold,Overbought_Oversold_Value,SECTOR RSI 1M,SECTOR RSI 3M,SECTOR RSI 6M,MARKET RSI 1M,MARKET RSI 3M,MARKET RSI 6M
MDI.JO,Master Drilling Grp Ltd,Basic Materials,Industrial Metals and Mining,%5EJ300.JO,STXRES.JO,False,1150.0,1150.0,-1.0,-1.0,-1.39,-0.01,0.99,1.02,1.09,0.8,0.94,0.97,1.0
MFL.JO,Metrofile Holdings Ltd,Industrials,Industrial Support Services,%5EJ300.JO,STXFIN.JO,False,235.0,235.0,-1.0,-1.0,-0.08,-0.05,0.95,0.93,0.84,0.77,0.96,0.93,0.96
MNP.JO,Mondi plc,Industrials,General Industrials,%5EJ300.JO,STXFIN.JO,False,33813.0,33813.0,-1.0,-1.0,-0.38,-0.02,0.98,0.86,0.81,0.91,0.89,0.89,1.11
MPT.JO,Mpact Limited,Industrials,General Industrials,%5EJ300.JO,STXFIN.JO,False,2951.0,2951.0,-1.0,-1.0,0.53,0.03,1.03,0.99,0.98,0.94,1.02,1.08,1.14
MRP.JO,Mr Price Group Ltd,Consumer Discrescretionary,Retailers,%5EJ300.JO,STXFIN.JO,False,22465.0,22465.0,-1.0,-1.0,2.85,0.03,1.03,1.02,1.1,1.17,1.05,1.21,1.38
MST.JO,Mustek Ltd,Technology,Technology Hardware and Hardware Equipment,%5EJ300.JO,STXFIN.JO,False,1345.0,1345.0,-1.0,-1.0,1.1,0.15,1.15,1.36,1.41,0.92,1.4,1.56,1.12
MTA.JO,Metair Investments Ltd,Consumer Discrescretionary,Automobile and Parts,%5EJ300.JO,STXFIN.JO,False,1300.0,1300.0,-1.0,-1.0,-0.67,0.05,1.05,0.86,1.04,0.88,0.88,1.15,1.08
MTH.JO,Motus Holdings Ltd,Consumer Discrescretionary,Retailers,%5EJ300.JO,STXFIN.JO,False,10835.0,10835.0,-1.0,-1.0,3.42,0.03,1.03,1.0,1.04,0.98,1.03,1.15,1.18
MTM.JO,Momentum Group Limited,Financials,Life Insurance,%5EJ300.JO,STXFIN.JO,False,2731.0,2731.0,-1.0,-1.0,2.53,0.07,1.07,1.12,1.06,1.22,1.16,1.17,1.42
MTN.JO,MTN Group Ltd,Telecommunications,Telecommunication Service Providers,%5EJ300.JO,STXFIN.JO,False,8606.0,8606.0,-1.0,-1.0,1.55,-0.01,0.99,1.08,0.89,0.9,1.11,0.99,1.1
MUR.JO,Murray & Roberts Hldgs,Industrials,Construction Materials,%5EJ300.JO,STXFIN.JO,False,302.0,302.0,-1.0,-1.0,0.04,0.14,1.14,1.09,1.65,2.38,1.13,1.82,2.62
N91.JO,Ninety One plc,Financials,Investment Banking and Brokerage Services,%5EJ300.JO,STXFIN.JO,False,3830.0,3830.0,-1.0,-1.0,-0.41,0.0,1.0,0.92,0.88,0.85,0.95,0.97,1.05
NED.JO,Nedbank Group Ltd,Financials,Banks,%5EJ300.JO,STXFIN.JO,False,29101.0,29101.0,-1.0,-1.0,2.23,0.04,1.04,1.07,1.07,1.15,1.1,1.18,1.35
NPH.JO,Northam Platinum Hldgs Ltd,Basic Materials,Precious Metals and Mining,%5EJ300.JO,STXRES.JO,False,12413.0,12413.0,-1.0,-1.0,-1.18,0.02,1.02,1.05,0.93,1.01,0.96,0.82,1.22
NPK.JO,Nampak Ltd,Industrials,General Industrials,%5EJ300.JO,STXFIN.JO,False,37987.0,37987.0,-1.0,-1.0,0.71,0.1,1.1,1.01,1.79,1.84,1.04,1.97,2.06
NPN.JO,Naspers Ltd -N-,Technology,Software and Computer Services,%5EJ300.JO,STXFIN.JO,False,365100.0,365100.0,-1.0,-1.0,0.82,-0.0,1.0,0.99,0.82,0.98,1.02,0.91,1.18
NTC.JO,Netcare Limited,Healthcare,Healthcare Providers,%5EJ300.JO,STXFIN.JO,False,1310.0,1310.0,-1.0,-1.0,1.69,0.03,1.03,1.06,1.01,0.84,1.09,1.12,1.04
NVS.JO,Novus Holdings Limited,Industrials,Industrial Support Services,%5EJ300.JO,STXFIN.JO,False,601.0,601.0,-1.0,-1.0,-1.9,0.06,1.06,1.02,1.42,1.37,1.05,1.56,1.58
NWL.JO,Nu-World Hldgs Ltd,Consumer Discrescretionary,Leisure Goods,%5EJ300.JO,STXFIN.JO,False,2850.0,2850.0,-1.0,-1.0,1.02,-0.01,0.99,0.91,0.85,0.83,0.94,0.94,1.03
NY1.JO,Ninety One Limited,Financials,Open end and miscellaneous Investment Vehicles,%5EJ300.JO,STXFIN.JO,False,3789.0,3789.0,-1.0,-1.0,-0.28,0.0,1.0,0.93,0.89,0.85,0.96,0.98,1.05
OCE.JO,Oceana Group Ltd,Consumer Staples,Food Producers,%5EJ300.JO,STXFIN.JO,False,7005.0,7005.0,-1.0,-1.0,0.26,-0.0,1.0,1.04,0.88,0.88,1.07,0.97,1.08
OMN.JO,Omnia Holdings Ltd,Basic Materials,Chemicals,%5EJ300.JO,STXFIN.JO,False,6059.0,6059.0,-1.0,-1.0,-2.5,-0.02,0.98,0.91,1.01,0.89,0.94,1.12,1.09
OMU.JO,Old Mutual Limited,Financials,Life Insurance,%5EJ300.JO,STXFIN.JO,False,1220.0,1220.0,-1.0,-1.0,1.83,-0.01,0.99,0.96,0.97,0.94,0.99,1.07,1.14
OUT.JO,OUTsurance Group Limited,Financials,Non-Life Insurance,%5EJ300.JO,STXFIN.JO,False,4714.0,4714.0,-1.0,-1.0,0.22,0.0,1.0,0.95,0.97,1.01,0.98,1.07,1.21
PAN.JO,Pan African Resource plc,Basic Materials,Precious Metals and Mining,%5EJ300.JO,STXRES.JO,False,674.0,674.0,-1.0,-1.0,0.46,0.03,1.03,1.1,1.2,1.32,1.01,1.06,1.54
PBG.JO,PBT Group Limited,Technology,Software and Computer Services,%5EJ300.JO,STXFIN.JO,False,589.0,589.0,-1.0,-1.0,-0.47,0.0,1.0,0.86,0.81,0.79,0.89,0.89,0.99
PIK.JO,Pick n Pay Stores Ltd,Consumer Staples,"Personal Care, Drug and Grocery Stores",%5EJ300.JO,STXFIN.JO,False,2280.0,2280.0,-1.0,-1.0,0.07,-0.04,0.96,0.93,1.0,0.75,0.96,1.1,0.95
PMR.JO,Premier Group Limited,Consumer Staples,Food Producers,%5EJ300.JO,STXFIN.JO,False,7500.0,7500.0,-1.0,-1.0,0.88,0.02,1.02,1.0,1.1,1.04,1.03,1.22,1.25
PMV.JO,Primeserv Group Ltd,Industrials,General Industrials,%5EJ300.JO,STXFIN.JO,False,205.0,205.0,-1.0,-1.0,0.11,0.13,1.13,1.21,1.45,1.33,1.25,1.61,1.54
PPC.JO,PPC Limited,Industrials,Construction Materials,%5EJ300.JO,STXFIN.JO,False,400.0,400.0,-1.0,-1.0,1.45,0.05,1.05,1.05,1.03,1.0,1.08,1.13,1.2
PPE.JO,Purple Group Ltd,Financials,Investment Banking and Brokerage Services,%5EJ300.JO,STXFIN.JO,False,80.0,80.0,-1.0,-1.0,1.81,-0.01,0.99,0.99,0.91,1.27,1.03,1.0,1.48
PPH.JO,Pepkor Holdings Ltd,Consumer Discrescretionary,Retailers,%5EJ300.JO,STXFIN.JO,False,2100.0,2100.0,-1.0,-1.0,2.95,0.01,1.01,0.97,0.94,0.92,1.01,1.04,1.12
PRX.JO,Prosus N.V.,Technology,Software and Computer Services,%5EJ300.JO,STXFIN.JO,False,65500.0,65500.0,-1.0,-1.0,0.91,-0.01,0.99,0.95,0.83,0.99,0.98,0.91,1.19
QFH.JO,Quantum Foods Hldgs Ltd,Consumer Staples,Food Producers,%5EJ300.JO,STXFIN.JO,False,905.0,905.0,-1.0,-1.0,-0.77,-0.15,0.85,0.74,0.58,1.8,0.76,0.64,2.02
